word,n
000 symbolstix images,2
20 000 symbolstix,2
don t worry,2
t worry about,2
000 people with,1
100 000 people,1
100 additional voices,1
2 tts languages,1
30 day trial,1
5 minutes you,1
a 30 day,1
a collaborative group,1
a complete stand,1
a device works,1
a free text,1
a good solution,1
a major breakthrough,1
a member of,1
a portable effective,1
a single page,1
a variety of,1
a way that,1
aac by making,1
ability it supports,1
about experimenting you,1
about losing your,1
access keep core,1
access to 20,1
access to a,1
access to relevant,1
add custom words,1
additional features for,1
additional voices available,1
adjustments print hard,1
all changes many,1
all information is,1
almost any point,1
alone solution no,1
alternative communications aac,1
always back up,1
an award winning,1
and audio files,1
and can be,1
and cool communication,1
and customize it,1
and desires to,1
and drop arrangement,1
and fine motor,1
and images from,1
and itouch in,1
and other physical,1
and others bi,1
and parents with,1
and participate in,1
and phrases popup,1
and professional communities,1
and recorded audio,1
and sharing libraries,1
and time savings,1
any point in,1
app purchase for,1
app that enables,1
apple com enroll,1
apple global search,1
apple tv iphone,1
apple watch apple,1
apps a collaborative,1
apps for kids,1
apps like pandora,1
are supported use,1
around them a,1
arrangement copy or,1
as in app,1
asn wab don,1
audio are supported,1
audio files including,1
auditory scanning and,1
augmentative alternative communications,1
authors can support,1
autism or other,1
automatic reminders or,1
available as in,1
award winning app,1
back up to,1
backed up on,1
background can dramatically,1
bar to generate,1
battery life multiple,1
be programmed to,1
be used simultaneously,1
bi lingual support,1
boards cells or,1
boards from our,1
breakthrough in augmentative,1
browser apple watch,1
bt switches additional,1
but we include,1
by creating and,1
by making it,1
can always back,1
can be programmed,1
can be used,1
can download standard,1
can dramatically decrease,1
can support a,1
caregivers and parents,1
categorize words use,1
cell sizes drag,1
cells or other,1
cerebral palsy hearing,1
changes many many,1
chinese hebrew and,1
choices a free,1
choices popup keyboards,1
choose mytalk offers,1
collaborative group of,1
com enroll erf,1
communicate in a,1
communicate through a,1
communication ability it,1
communication difficulties to,1
communication tool take,1
communications aac by,1
communities by creating,1
community libraries variable,1
complete phrases use,1
complete stand alone,1
content and customize,1
content using apple,1
context to provide,1
continued use of,1
continuous refinement search,1
cool communication tool,1
copy for use,1
copy or link,1
core words in,1
course to see,1
create and participate,1
create is kept,1
creating and sharing,1
custom words and,1
customization options mytalk,1
customize how you,1
customize it for,1
customize to the,1
customize variant selections,1
day trial of,1
decrease battery life,1
desires to those,1
developers seeking to,1
device all information,1
device the web,1
device works without,1
diagnoses that impair,1
difficulties to express,1
directly with many,1
down syndrome cerebral,1
download photos and,1
download standard content,1
drag and drop,1
dramatically decrease battery,1
drop arrangement copy,1
ease of use,1
easy to customize,1
effective and cool,1
email or texts,1
enable modeling download,1
enables over 100,1
