word,n
are three answers,1
are trained because,1
are well made,1
as a b,1
as a communication,1
as a mouse,1
as a music,1
as a speech,1
as a teacher,1
as an assistive,1
as it sounds,1
as magical as,1
as soon as,1
as them on,1
as visual support,1
as well as,1
as you press,1
ask for help,1
asked questions and,1
asked who the,1
assessing my students,1
assessment my state,1
assessment of any,1
assistive communication device,1
associate i've held,1
at a affable,1
at all and,1
at dayhab and,1
at first getting,1
at getting ipads,1
at home places,1
at one school,1
at specialist and,1
at work and,1
attends what recreational,1
attention than the,1
attribuites to explore,1
augmentative communication the,1
author on the,1
authoriing workspace you,1
authoring environment is,1
authoring environment it,1
authoring environment to,1
authoring i am,1
authoring new boards,1
autism and is,1
b c d,1
back i scoured,1
back up the,1
backed up and,1
background that isn't,1
bank their voice,1
barely afford the,1
based authoriing workspace,1
based authoring environment,1
basics are mastered,1
bathroom express feelings,1
be a perfect,1
be a wonderful,1
be able to,1
be customized for,1
be fixed making,1
be full of,1
be implented to,1
be my 6,1
be on my,1
be used as,1
be very useful,1
beauty is the,1
because mytalktools has,1
because of copyright,1
because the app,1
because the company,1
because they created,1
because this is,1
become more independent,1
become usable vs,1
been able to,1
been answered quickly,1
been extremely useful,1
been in education,1
been pioneers on,1
been quickly remedied,1
been working for,1
before i felt,1
before long you,1
before the ipad,1
before this one,1
being able to,1
benefit from the,1
better because the,1
bick or kevin,1
bick pratt and,1
bit of an,1
bit of time,1
black and white,1
blinks to give,1
board creator and,1
board for myself,1
board is individualized,1
board is using,1
board it's pretty,1
board on their,1
board the only,1
board website i,1
boards are re,1
boards are synced,1
boards for multiple,1
boards galore so,1
boards iep goals,1
boards on any,1
boards on the,1
boards since boards,1
boards that are,1
boards without using,1
boaring black and,1
body and himself,1
both on an,1
brand into mytalk,1
brand of yogurt,1
breeze to use,1
buggy when pasting,1
busy visually mytalktools,1
but app is,1
but can also,1
but can and,1
but can't talk,1
but did not,1
but i looked,1
but i went,1
but it seems,1
but it was,1
but now it,1
but once you,1
but only with,1
but the tutorials,1
but you quickly,1
buy a certain,1
by bick or,1
by eye gaze,1
by my son,1
by providing affordable,1
by typing a,1
by typing in,1
by using the,1
c d e,1
camera that faces,1
cameraman didn't pick,1
can actually control,1
can add my,1
can afford a,1
can also be,1
can and do,1
can bank their,1
can barely afford,1
can be a,1
can be implented,1
can benefit from,1
can cause seizures,1
can create boards,1
can customize to,1
can do a,1
can easily learn,1
can finally talk,1
can get friends,1
can have access,1
can have multiple,1
can imagine the,1
can import pictures,1
can keep adding,1
can log in,1
can make changes,1
can make djs,1
can miss parts,1
can not use,1
can obviously be,1
can replicate these,1
can see how,1
can select by,1
can tell me,1
can tell others,1
can use these,1
can we get,1
can't delete and,1
can't talk as,1
cannot do this,1
cannot recommend this,1
care not all,1
case of the,1
cause seizures by,1
cell or looking,1
cells it seems,1
cells on a,1
cells on the,1
cells without changing,1
certain brand of,1
certificate since 2000,1
challenges they get,1
changes immediately i,1
changes remotely and,1
changing the board,1
changing the whole,1
child be able,1
choice boards iep,1
choice disapears allowing,1
choices naturally students,1
choose from while,1
circuit tv the,1
class mates staff,1
class questions as,1
class reports compliment,1
class to follow,1
classroom dream come,1
classroom for a,1
classroom for two,1
classroom too do,1
clean and simple,1
clean etc i,1
click it has,1
clicking 2 the,1
client can have,1
client the professional,1
clients and copy,1
clients become more,1
clients for 4,1
clipart from the,1
closed circuit tv,1
cloud to back,1
cognitive disabilities and,1
cognitive disabilities need,1
colleagues have noticed,1
come true i've,1
comfortable but now,1
comments that an,1
commercial entities cannot,1
communicate despite his,1
communicate let's say,1
communicate successfully my,1
communication and assessment,1
communication at a,1
communication but only,1
communication cells on,1
communication disabilities we,1
communication it is,1
communication the interface,1
communication tool but,1
communication tools and,1
communication try it,1
community etc each,1
community i use,1
community order favorite,1
company listens to,1
complaint i have,1
compliment and or,1
computer and within,1
conceived app the,1
concept there is,1
concept though it,1
condition can bank,1
contact information age,1
content both on,1
continue to recommend,1
continued to listen,1
continues to be,1
control something note,1
conversation we use,1
convince facilities and,1
cool additionally mytalk,1
cool they've really,1
copy and paste,1
copyright restrictions that's,1
cost more money,1
costs thousands it,1
could be fixed,1
could locate and,1
could run the,1
counting to 20,1
couple hours before,1
couple of my,1
create an account,1
create an endless,1
create boards and,1
created the web,1
creating apps for,1
creating this free,1
creator and the,1
curriculum content both,1
curriculum if a,1
curve but once,1
curve but the,1
customer service for,1
customizations that can,1
customize it even,1
customize mytalk boards,1
customize to fit,1
customized for anything,1
d e options,1
dad can benefit,1
dad communicate despite,1
dad his voice,1
dangerous infrared eye,1
data is so,1
data is there,1
day i might,1
day my 2,1
day trial to,1
dayhab and at,1
definitely revolutionizing this,1
degenerative condition can,1
deleting cells easier,1
designed it perfectly,1
despite his aphasia,1
detailed training because,1
developing an easy,1
developing it i,1
device and you,1
device or alternate,1
device or as,1
device or flipping,1
device that costs,1
device type in,1
devices using workspace,1
did not realize,1
did your homework,1
didn't do very,1
didn't have an,1
didn't pick up,1
different activities that,1
dining out answer,1
disabilities also in,1
disabilities and physical,1
disabilities as a,1
disabilities need this,1
disabilities we are,1
disapears allowing the,1
diverse aac user,1
djs and vjs,1
do a lot,1
do go through,1
do learn as,1
do this because,1
do very much,1
doesn't already have,1
doing the different,1
don't have to,1
downloaded it's a,1
downloaded so much,1
downsides 1 when,1
drawings that the,1
drawings used for,1
dream come true,1
dropbox you simply,1
dropped or missing,1
dwelling on a,1
e options and,1
each board is,1
earned himself an,1
easier and well,1
easier to modify,1
easier to program,1
easier to use,1
easily just by,1
easily learn how,1
easy and fast,1
easy to convince,1
easy to teach,1
ed students or,1
edit and makes,1
edit them to,1
education for 20,1
else he can,1
else you can,1
enable faster authoring,1
encountered only a,1
end up with,1
end user once,1
endless loop but,1
enjoys about weekend,1
enough for those,1
entities cannot do,1
environment is great,1
environment it is,1
environment to enable,1
etc each board,1
etc i just,1
evaluate teachers on,1
even made a,1
even more after,1
even once that's,1
even sure how,1
event that one,1
ever and they,1
every client the,1
every day my,1
every month would,1
everyone i have,1
everything in without,1
examble we buy,1
example a client,1
excellent and my,1
excellent tool to,1
excited then they,1
expensive and didn't,1
expensive dangerous infrared,1
experimented with the,1
explore i love,1
express feelings and,1
extra pointing and,1
eye gaze or,1
eye gaze systems,1
eye wink movement,1
eyes dwelling on,1
face light up,1
face so he,1
facebook page and,1
faces the user,1
facilitated communication but,1
facilitator's face so,1
facilities and families,1
fact it just,1
fact that the,1
families to purchase,1
family can easily,1
family contact information,1
family friends class,1
family members and,1
fast you can,1
faster authoring i,1
faster to author,1
favorite foods when,1
favorite movies or,1
features mytalk is,1
features than ever,1
features there is,1
fee of workspace,1
feedback downsides 1,1
feelings and needs,1
felt comfortable but,1
few minutes i,1
few people he,1
few times in,1
field by providing,1
field of 2,1
figure out workarounds,1
fill most of,1
finally talk this,1
find before long,1
find it faster,1
find mytalk tools,1
find what my,1
fine when there's,1
finger the acapela,1
first getting it,1
first time my,1
fit your needs,1
fixed making it,1
flat hierarchy also,1
flipping it up,1
foods when dining,1
for 20 years,1
for 4 years,1
for a long,1
for an alternative,1
for an app,1
for an eye,1
for anything including,1
for augmentative communication,1
for creating this,1
for developing an,1
for every client,1
for examble we,1
for example a,1
for eyes dwelling,1
for help bathroom,1
for him he,1
for individuals with,1
for menu items,1
for multiple clients,1
for my nonverbal,1
for my patients,1
for my personal,1
for my pts,1
for my son,1
for my student's,1
for myself in,1
for teachers and,1
for teaching and,1
for testing at,1
for the board,1
for the future,1
for the whole,1
for the wonderful,1
for this app,1
for those who,1
for two years,1
for verbal communication,1
for you because,1
form for my,1
forward took me,1
found it an,1
found it easy,1
found it was,1
found this i,1
found to delete,1
framework the beauty,1
free 30 day,1
free version i,1
free version will,1
friendly you can,1
friends class mates,1
friends to add,1
from its simple,1
from my photos,1
from the actual,1
from the changes,1
from the ipad,1
from the web,1
from two choices,1
from very clean,1
from while at,1
full of implimentation,1
fun june 2016,1
future the free,1
galore so the,1
gaze or touch,1
gaze systems they,1
get an update,1
get friends to,1
get himself past,1
get so excited,1
get your new,1
getting better because,1
getting ipads and,1
getting it set,1
give an ipad,1
give you an,1
give you visual,1
given one of,1
giving a voice,1
giving dad his,1
go in the,1
go through all,1
go to a,1
go to tool,1
goals schedules and,1
good app for,1
good app not,1
good instructions i,1
good lighting and,1
good luck and,1
good that someone,1
granddaughter's ipad she,1
grandson is picking,1
great aac option,1
great app i'm,1
great app this,1
great as soon,1
great concept there,1
great for teachers,1
great in concept,1
greet family friends,1
guide you through,1
guys are definitely,1
guys have been,1
had continued to,1
happy to be,1
has autism and,1
has been extremely,1
has been working,1
has earned himself,1
has helped my,1
has intellectual and,1
has so many,1
has where there,1
hate so much,1
have a communication,1
have access to,1
have an idea,1
have asked questions,1
have been able,1
have been answered,1
have been in,1
have been pioneers,1
have been quickly,1
have designed it,1
have encountered only,1
have fun june,1
have given one,1
have is that,1
have multiple sets,1
have noticed how,1
have put into,1
have to recognize,1
have to weed,1
have tried several,1
have used mytalk,1
have used mytalktools,1
have used the,1
have worked at,1
having to go,1
he can tell,1
he could locate,1
he has earned,1
he just jumped,1
he might request,1
he pressed his,1
he uses facilitated,1
he was able,1
hear the sound,1
held a state,1
help at all,1
help bathroom express,1
help my dad,1
help with communication,1
helped my clients,1
helpfully i have,1
her son after,1
hi everyone i,1
hierarchy also with,1
hierarchy of language,1
high school we,1
highly enough for,1
highly recommend it,1
highly responsive is,1
him he could,1
himself an ipad,1
himself doing the,1
himself past the,1
his aphasia i,1
his device or,1
his face light,1
his facebook page,1
his my talk,1
his name was,1
his new voice,1
his own body,1
his own possessions,1
his picture that,1
his pictures independently,1
his team of,1
his voice back,1
home care not,1
home places to,1
home school and,1
hours before i,1
hours you have,1
how i can,1
how i stumbled,1
how intuitive it,1
how many hours,1
how much more,1
how my mom,1
how the tutorials,1
how to customize,1
how you can,1
however it cost,1
huge and fill,1
i also appreciate,1
i am an,1
i am liking,1
i am not,1
i can add,1
i can finally,1
i can make,1
i cannot recommend,1
i device and,1
i don't have,1
i experimented with,1
i felt comfortable,1
i find it,1
i found it,1
i have asked,1
i have encountered,1
i have is,1
i have to,1
i highly recommend,1
i installed this,1
i just selected,1
i know that,1
i like how,1
i like this,1
i logged off,1
i looked for,1
i love being,1
i love how,1
i love the,1
i love you,1
i might need,1
i only tried,1
i originally downloaded,1
i programmed all,1
i programmed everything,1
i provided my,1
i saw i,1
i scoured the,1
i stumbled on,1
i tried to,1
i typed that,1
i use the,1
i used the,1
i was happy,1
i was redirected,1
i was referred,1
i was unable,1
i went on,1
i will always,1
i'm an slp,1
i've even made,1
i've found to,1
i've held a,1
i've used mytalktools,1
icons and recorded,1
idea is was,1
idea of if,1
ideas good luck,1
iep goals schedules,1
if it's for,1
if that could,1
if this continues,1
image or video,1
images are nice,1
imagine the customer,1
immediately i also,1
implented to support,1
implimentation ideas good,1
import pictures from,1
importance of giving,1
importing photos from,1
in a name,1
in a restaurant,1
in a username,1
in as them,1
in case of,1
in community order,1
in concept though,1
in education for,1
in fact it,1
in high school,1
in i love,1
in my opinion,1
in rehab and,1
in the 4,1
in the voice,1
in without having,1
in your user,1
including choice boards,1
including the added,1
incorrect answer the,1
incredibly easily just,1
independent at work,1
independent level and,1
independently with no,1
individualized for every,1
individuals with disabilities,1
inexpensive option to,1
infantile line drawings,1
information age and,1
information i logged,1
information once i,1
infrared eye gaze,1
initial learning curve,1
installed this app,1
instantly appeared well,1
instantly pull up,1
instructions i installed,1
instructions were no,1
intellectual and communication,1
intelligently backed up,1
interact with curriculum,1
interface is very,1
internet for an,1
internet searches or,1
into developing it,1
into mytalk mobile's,1
into the facilitator's,1
into their classroom,1
intuitive it is,1
investing a bit,1
ipad and instantly,1
ipad i only,1
ipad is stolen,1
ipad more attention,1
ipad only but,1
ipad photo album,1
ipad plus app,1
ipad seems slightly,1
ipad she is,1
ipad simply by,1
ipad which is,1
ipad without changing,1
ipads and this,1
iphone or ipad,1
ironic because they,1
is a bit,1
is a breeze,1
is a classroom,1
is a great,1
is a learning,1
is a very,1
is affordable it,1
is already there,1
is also second,1
is amazing it,1
is amazing product,1
is but can't,1
is excellent and,1
is for my,1
is great as,1
is great in,1
is individualized for,1
is intelligently backed,1
is ironic because,1
is lightning quick,1
is not allowing,1
is noverbal he,1
is only a,1
is perfect for,1
is picking it,1
is quite pokey,1
is really the,1
is six and,1
is so much,1
is still my,1
is stolen dropped,1
is that is,1
is that you,1
is the only,1
is the simplicity,1
is there i,1
is totally worth,1
is using the,1
is very well,1
is was students,1
is you people,1
isn't busy visually,1
it an excellent,1
it and it,1
it but did,1
it can obviously,1
it cost more,1
it easier to,1
it easy to,1
it even more,1
it faster to,1
it has been,1
it has helped,1
it i like,1
it i will,1
it in fact,1
it is only,1
it is quite,1
it is you,1
it it's pretty,1
it just keeps,1
it love my,1
it makes it,1
it out with,1
it perfectly one,1
it seems fine,1
it seems like,1
it seems to,1
it set up,1
it so much,1
it sounds people,1
it through the,1
it to say,1
it up i,1
it up into,1
it up pretty,1
it was a,1
it was an,1
it was much,1
it was very,1
it worked great,1
it you can,1
it's a flat,1
it's a great,1
it's for you,1
it's pretty cool,1
it's pretty straight,1
items we use,1
its simple framework,1
its so user,1
its users and,1
its users through,1
jumped right in,1
june 2016 update,1
just by typing,1
just jumped right,1
just keeps getting,1
just selected it,1
just to see,1
keep adding layers,1
keeps adding features,1
keeps getting better,1
keyword search for,1
kind when responding,1
know that you,1
language starts to,1
later with the,1
layed out and,1
layers to the,1
lcd projector for,1
lcd screen and,1
learn as a,1
learn how to,1
learn it it's,1
learners but can,1
less expensive and,1
let's say where,1
level and a,1
level they are,1
level they have,1
library are also,1
light up when,1
lighting and a,1
lightning quick they,1
like a lot,1
like how i,1
like how the,1
like much from,1
like this apart,1
like this app,1
liking this app,1
limited to a,1
line drawings that,1
line drawings used,1
listen to its,1
listens to its,1
lite i am,1
lite version with,1
little tricky at,1
locate and tap,1
log in as,1
logged off and,1
long time and,1
long you will,1
look for eyes,1
look like much,1
looked for an,1
looking for an,1
loop but you,1
lot of customizations,1
lot of extra,1
lot without investing,1
lots of attribuites,1
love being able,1
love how my,1
love how you,1
love it in,1
love it love,1
love my talk,1
love the affordability,1
love this app,1
love you to,1
loved it but,1
loves his my,1
lowest one percent,1
luck and have,1
made a board,1
made start small,1
magical as it,1
main reason i,1
make adding and,1
make changes remotely,1
make communication cells,1
make djs and,1
make sense and,1
makes it so,1
makes use of,1
making it easier,1
manual even once,1
many features there,1
many hours you,1
mastered there are,1
mates staff ask,1
matter of time,1
may be very,1
may not look,1
mc was when,1
mc would say,1
me a couple,1
me to create,1
me with his,1
meet new students,1
members and patients,1
menu items we,1
might need to,1
might request for,1
mimic the alternate,1
mimic the expensive,1
minutes i was,1
mirroring on your,1
miss parts that,1
missing with this,1
mobile app only,1
mobile's web search,1
mode of communication,1
modify boards without,1
mom and dad,1
money every month,1
money it makes,1
month would continue,1
more after they,1
more and more,1
more attention than,1
more every day,1
more features than,1
more independent at,1
more money every,1
more their students,1
more updates mytalktools,1
most apps where,1
most of the,1
mouse click it,1
movement to use,1
movies or movies,1
movies she wants,1
much 2 say,1
much easier and,1
much easier to,1
much for creating,1
much from its,1
much importing photos,1
much less expensive,1
much more their,1
much this is,1
multiple clients and,1
multiple sets of,1
music teacher mytalktools,1
must amazing program,1
my 2 1,1
my 6 th,1
my adult patients,1
my clients become,1
my colleagues have,1
my dad communicate,1
my go to,1
my granddaughter's ipad,1
my information i,1
my mom and,1
my non verbal,1
my nonverbal clients,1
my opinion the,1
my patient used,1
my patients which,1
my personal information,1
my photos the,1
my pts can,1
my pts i,1
my pts if,1
my questions have,1
my son loves,1
my son speech,1
my son who's,1
my state has,1
my student will,1
my student's use,1
my students on,1
my talk its,1
my talk too,1
my voice and,1
my way to,1
myriads of stuff,1
myself in case,1
mytalk boards for,1
mytalk can mimic,1
mytalk for my,1
mytalk is perfect,1
