word,n
feel your ipad,1
felt like i,1
few icons for,1
figure out were,1
figure out what,1
figure out you,1
figured out he,1
finally found my,1
finally with the,1
fine motor issue,1
first time since,1
folders which is,1
food and beverage,1
food choices he,1
foods people and,1
for 7 years,1
for about the,1
for all kids,1
for communication and,1
for each button,1
for early learners,1
for fast food,1
for her lately,1
for him to,1
for him we,1
for home use,1
for k we,1
for my sons,1
for now we,1
for open our,1
for our cognitively,1
for several months,1
for shaping my,1
for the app,1
for the first,1
for us for,1
for various activities,1
for years 11,1
forced to speak,1
found my authentic,1
found this app,1
four stars is,1
freedom giver as,1
freedom to communicate,1
freely communicate with,1
frequently losing speech,1
frequently use it,1
friends over discord,1
from a girlfriend,1
from using communication,1
from within the,1
from your device’s,1
frustrated no more,1
frustration of playing,1
future life through,1
get frustrated no,1
get notifications about,1
get the hang,1
get with my,1
getting the courage,1
girlfriend i decided,1
give her a,1
give it four,1
given me many,1
given me the,1
giver as a,1
giving me the,1
glad my sons,1
go i believe,1
go with it,1
goes and what,1
gradually increased the,1
granddaughter is essentially,1
great app happy,1
grid and the,1
grid of icons,1
grid to currently,1
ground by now,1
grown since then,1
had a dark,1
had done this,1
had proloquo2go since,1
handle and 2,1
hang of we’re,1
happen finally with,1
happy that such,1
has been a,1
has been learning,1
has been using,1
has had proloquo2go,1
has helped her,1
has helped my,1
has made it,1
has only grown,1
has so many,1
has speech or,1
has trouble swiping,1
has typed she,1
has what appears,1
have been using,1
have done i’ve,1
have it programmed,1
have similar circumstances,1
have speech device,1
have speech problems,1
have tried to,1
having down syndrome,1
he also uses,1
he could make,1
he doesn’t get,1
he has trouble,1
he is able,1
he knows it’s,1
he quickly figured,1
he says or,1
he turned three,1
he uses this,1
heading in to,1
hearing people while,1
heavy slow to,1
help of his,1
helped her communicate,1
helped her speech,1
helped me figure,1
helped my son,1
helpful in modifying,1
helpful in preparing,1
helping my loved,1
helps my son,1
her a voice,1
her best tools,1
her communicate her,1
her lately she,1
her speech and,1
her speech she,1
her wants and,1
high school at,1
highest recommended at,1
highly recommend worth,1
him over and,1
him to access,1
him we even,1
his device the,1
his icons i,1
his mom dad,1
his second birthday,1
his therapists i,1
home use this,1
how easy it,1
how to communicate,1
how you can,1
hurts my eyes,1
i also use,1
i am a,1
i am an,1
i am myself,1
i am so,1
i believe this,1
i can freely,1
i cant speak,1
i could turn,1
i decided she,1
i even added,1
i felt like,1
i finally found,1
i found this,1
i frequently use,1
i give it,1
i had done,1
i have done,1
i love how,1
i love you,1
i purchased a,1
i really like,1
i researched for,1
i totally recommend,1
i use all,1
i use the,1
i use this,1
i was just,1
i was saying,1
i was seven,1
i wish i,1
i wish it,1
i wish that,1
i would love,1
i'm slowly getting,1
icons for our,1
icons he knows,1
icons i would,1
if the ability,1
if you feel,1
images other ones,1
in a positive,1
in different communication,1
in different therapies,1
in helping my,1
in modifying my,1
in more and,1
in order to,1
in preparing me,1
in to kindergarten,1
included since he,1
increased degree of,1
increased the grid,1
independence of communication,1
insurance to cover,1
intermediate is so,1
interpreter by giving,1
into apps that,1
into the app,1
ipad app and,1
ipad but for,1
ipad cases you,1
ipad is not,1
ipad mini and,1
is 20 and,1
is able to,1
is an awesome,1
is because he,1
is certainly affordable,1
is easy to,1
is essentially non,1
is extremely versatile,1
is helped me,1
is i wish,1
is more and,1
is nonverbal deaf,1
is not loud,1
is now 14,1
is one of,1
is picking it,1
is so expansive,1
is the news,1
is to program,1
is under you,1
issue for now,1
it and reading,1
it and what,1
it as simple,1
it can be,1
it comes to,1
it did not,1
it drives me,1
it four stars,1
it had a,1
it has given,1
it has only,1
it i even,1
it i highly,1
it i wish,1
it if the,1
it in more,1
it is to,1
it programmed for,1
it say for,1
it she is,1
it speak what,1
it the app,1
it to select,1
it up fairly,1
it we appreciate,1
item is under,1
items on there,1
its the perfect,1
its very easy,1
it’s a double,1
it’s good app,1
it’s layout better,1
it’s probably a,1
i’m able to,1
i’ve also added,1
i’ve see the,1
i’ve seen the,1
just a few,1
just repeating what,1
k we have,1
kids and adults,1
kindergarten she is,1
kleinfelter syndrome it’s,1
know they will,1
knows it’s layout,1
lately she types,1
layout better than,1
learners such as,1
learning how to,1
left to right,1
leisure activity choices,1
length straps so,1
liberates me from,1
library of pictures,1
life changer i,1
life changing i,1
life through undergo,1
like 6x8 grid,1
like i was,1
like taking a,1
like that it,1
likes foods people,1
listened to autistic,1
listens to it,1
loaded proloquo2go on,1
long ago and,1
loose it i,1
losing speech and,1
lot he doesn’t,1
lot i’m able,1
loud enough with,1
love how you,1
love it if,1
love it we,1
love you can,1
loved one communicate,1
loves telling me,1
made it say,1
make a setting,1
make food and,1
make it as,1
make the worthwhile,1
making the purchase,1
manage this app,1
many positive avenues,1
many voices you,1
match my age,1
may not use,1
me crazy to,1
me figure out,1
me for open,1
me from using,1
me many positive,1
me the degree,1
me the increased,1
me to repeat,1
me to say,1
me what to,1
messages on it,1
mild autistic and,1
mini and loaded,1
mode or a,1
modification and positive,1
modifier and freedom,1
modifying my behavior,1
mom dad brothers,1
months before making,1
months he turned,1
more frequently losing,1
more situations my,1
more when you,1
motivating for him,1
motor issue for,1
multi disabled woman,1
multiple voices avail,1
must have speech,1
my age in,1
my authentic autistic,1
my behavior to,1
my delight this,1
my eyes and,1
my friends over,1
my future life,1
my granddaughter is,1
my loved one,1
my messages on,1
my niece has,1
my only criticism,1
my roommates and,1
my son device,1
my son having,1
my son likes,1
my sons insurance,1
my sons speech,1
my tics after,1
my toddler the,1
myself again thank,1
names you can,1
natural dialect and,1
navigate and figure,1
needed a communication,1
needed or wanted,1
new update please,1
news for the,1
niece has had,1
no more when,1
non verbal for,1
non verbal unless,1
nonverbal and forced,1
nonverbal deaf partially,1
not delay whether,1
not happen finally,1
not long ago,1
not loud enough,1
not make the,1
not that expensive,1
not use which,1
nothing because i,1
notifications about new,1
now 14 ready,1
now please to,1
now we all,1
number to our,1
of a speech,1
of all the,1
of communication and,1
of each you,1
of freedom to,1
of her best,1
of his icons,1
of his mom,1
of his therapists,1
of icons he,1
of independence of,1
of pictures take,1
of pictures you,1
of playing 20,1
of the different,1
of the things,1
of us the,1
of we’re what,1
off is the,1
off other than,1
often tries to,1
old i finally,1
old this app,1
on a better,1
on a different,1
on ease grid,1
on go i,1
on it and,1
on it she,1
on its very,1
on my son,1
on the ipad,1
on the recommended,1
on the spectrum,1
on there you,1
on trip for,1
once you get,1
one communicate my,1
one of her,1
one out there,1
ones i’ve see,1
ones i’ve seen,1
only criticism is,1
only grown since,1
only reason i,1
only thing i,1
open our world,1
opens and closes,1
or a dimmer,1
or complex as,1
or may not,1
or not make,1
or to others,1
or wanted it,1
order to figure,1
originally nonverbal and,1
other people wanted,1
other than that,1
our address you,1
our cognitively disabled,1
our dismay it,1
our natural dialect,1
our phone number,1
our pictures and,1
our previous device,1
our son is,1
our toddler who,1
our world to,1
out he could,1
out there for,1
out were all,1
out what she,1
out you can,1
over again we,1
over and over,1
over discord by,1
own images other,1
own pictures and,1
page for him,1
page i highly,1
paper work for,1
partially blind mild,1
partner the interpreter,1
past 6 months,1
people and converted,1
people and so,1
people wanted me,1
people while i,1
perfect app though,1
phone number to,1
photos from your,1
phrases but i,1
physically disabled i,1
pick a voice,1
pick the amount,1
picking it up,1
picture of his,1
pictures and add,1
pictures and added,1
pictures from within,1
pictures she wants,1
pictures take pictures,1
pictures you want,1
playing 20 questions,1
please make a,1
please to all,1
positive avenues for,1
positive behavior modification,1
positive behavior modifier,1
positive social time,1
positive way and,1
preparing me for,1
previous device was,1
probably a fine,1
problems and this,1
problems it has,1
program and use,1
program is certainly,1
program on the,1
program this program,1
programmed for fast,1
progressive cognitive disability,1
proloquo2go a helpful,1
proloquo2go app for,1
proloquo2go app on,1
proloquo2go has been,1
proloquo2go is one,1
proloquo2go on it,1
proloquo2go since she,1
prompted to say,1
pronounces which i,1
protective case there,1
protective case was,1
prove that i,1
purchase for home,1
purchase of a,1
purchased a ipad,1
questions in order,1
quickly figured out,1
reading replies on,1
ready to start,1
really like that,1
really work for,1
reason even after,1
reason he has,1
reason i give,1
recommend it the,1
recommend this device,1
recommend worth every,1
recommended at the,1
recommended intermediate is,1
repeat different phrases,1
repeat that she,1
repeat what she,1
repeating what other,1
replies on a,1
researched for several,1
rest of his,1
right were included,1
roommates and i'm,1
rugged case with,1
say for her,1
say i use,1
say something he,1
saying nothing because,1
says or to,1
schizophrenia spectrum college,1
school at 5,1
second birthday has,1
see the only,1
seen the voices,1
select leisure activity,1
seoprate the app,1
setting to turn,1
seven years old,1
several months before,1
shaping my future,1
she can repeat,1
she has made,1
she has typed,1
she is now,1
she is picking,1
she loves telling,1
she needed a,1
she needed or,1
she often tries,1
she took care,1
she types into,1
she wants used,1
she was 5,1
she would eventually,1
shopping this app,1
show him over,1
similar circumstances do,1
simple or complex,1
simple to manage,1
since he is,1
since i was,1
since it drives,1
since she was,1
since the white,1
since then it,1
sister with there,1
situations my only,1
situations they listened,1
size as well,1
slightly physically disabled,1
slow to start,1
slowly getting the,1
snacks my son,1
so expansive i,1
so glad my,1
so many voices,1
so on its,1
so versatile in,1
so you can,1
so you don’t,1
social time it,1
some reason even,1
some reason he,1
something he quickly,1
son and gradually,1
son device is,1
son having down,1
son is 20,1
son likes foods,1
sons insurance to,1
sons speech therapist,1
spared all of,1
speak in different,1
