word,n
switch scanning and,1
symbols or use,1
syndrome and others,1
syndrome cerebral palsy,1
system to talk,1
taking pictures within,1
talk with the,1
tap images type,1
tapping images proloquo2go,1
teachers and users,1
teaching communication effectively,1
team is available,1
that just 200,1
that offers suggestions,1
the app includes,1
the app or,1
the app s,1
the app your,1
the assistiveware core,1
the assistiveware website,1
the basis of,1
the crescendo vocabulary,1
the fly learn,1
the gold standard,1
the learn aac,1
the same app,1
the same time,1
the user to,1
the vocabulary works,1
the way help,1
the world recognize,1
their communication expands,1
their location as,1
them from your,1
them new to,1
therapists teachers and,1
there whenever you,1
these online resources,1
they act as,1
time allowing seamless,1
to aac our,1
to access is,1
to build language,1
to develop language,1
to full sentences,1
to help all,1
to say the,1
to talk with,1
to the assistiveware,1
to type for,1
to understand articles,1
to use communication,1
to use the,1
tool the app,1
two languages can,1
type and speak,1
type for more,1
type what you,1
type words speak,1
typing hello proloquo2go,1
typing view with,1
typists proloquo2go includes,1
understand articles in,1
understood featuring natural,1
up 80 of,1
use an aac,1
use communication app,1
use so you,1
use your own,1
used at the,1
used by people,1
user to develop,1
users around the,1
users can grow,1
users learn words,1
users on our,1
users with fine,1
utilized to build,1
view with a,1
vision impairments proloquo2go,1
vocabulary and customizable,1
vocabulary levels finally,1
vocabulary two languages,1
vocabulary users can,1
vocabulary works with,1
voiceover screen reader,1
voices including real,1
voices proloquo2go is,1
voices rounds out,1
want to say,1
way a helping,1
way help articles,1
we say known,1
website has easy,1
week and is,1
what we say,1
what you are,1
what you want,1
whenever you need,1
where you use,1
which support switch,1
who cannot speak,1
with a 10,1
with a person,1
with a qwerty,1
with aac best,1
with autism down,1
with fine motor,1
with our community,1
with progressive language,1
with speech difficulties,1
with the user,1
within the app,1
word classroom includes,1
word prediction that,1
word vocabulary and,1
words and their,1
words are gradually,1
words in consistent,1
words make up,1
words speak proloquo2go,1
words they act,1
words to full,1
words use the,1
works with aac,1
world recognize proloquo2go,1
yet powerful aac,1
you are typing,1
you can also,1
you can make,1
you can switch,1
you every step,1
you have any,1
you need them,1
you select a,1
you type what,1
you use an,1
you want to,1
your choices to,1
your own photos,1
your own type,1
your photo library,1
your way a,1
