word,n
can be copied,4
buttons can be,3
and pasted into,2
be copied and,2
be copied to,2
copied and pasted,2
iphone and ipod,2
page sets are,2
000 symbolstix symbols,1
10 000 symbolstix,1
15 primary and,1
2 british english,1
30 button actions,1
a built in,1
a button colors,1
a computer using,1
a different location,1
a different page,1
a full featured,1
a message navigate,1
a message push,1
a noisy environment,1
a number of,1
a person s,1
a person to,1
a photo with,1
a service touch,1
a unique feature,1
a voice that,1
aac and includes,1
aac for iphone,1
ability to navigate,1
ability to use,1
actions for example,1
actions when creating,1
activate on release,1
activation timing can,1
additional page sets,1
adjusted to meet,1
adjustments include button,1
affect a person,1
allowing the user,1
allows a person,1
als apraxia stroke,1
also be used,1
also buttons can,1
also enables users,1
also has a,1
also text generated,1
alternative communication aac,1
an individual the,1
an online community,1
and 2 british,1
and alternative communication,1
and button release,1
and capabilities of,1
and choose a,1
and email it,1
and essence are,1
and exported to,1
and includes features,1
and ipod users,1
and messages are,1
and speak messages,1
and spelling each,1
and store custom,1
and symbols are,1
and the message,1
another button provided,1
any image or,1
app purchases text,1
applications can be,1
applications the pages,1
apraxia stroke or,1
are available allowing,1
are available as,1
are fully customizable,1
are included for,1
are included with,1
are linked pages,1
are programmed to,1
are spoken with,1
as augmentative and,1
as in app,1
as music from,1
assistive technology known,1
audio files such,1
augmentative and alternative,1
autism down syndrome,1
automatically posted text,1
available allowing the,1
available as in,1
available in much,1
be adjusted to,1
be configured to,1
be easily rearranged,1
be imported and,1
be modified to,1
be programmed to,1
be shared on,1
be spoken out,1
be used to,1
been taken to,1
borders fonts can,1
british english synthesized,1
built in camera,1
built in voice,1
button actions when,1
button activation timing,1
button colors borders,1
button dwell time,1
button provided page,1
button release time,1
buttons are programmed,1
buttons may be,1
buttons messages and,1
buttons over 10,1
buttons the buttons,1
buttons to play,1
buttons use any,1
by playing recorded,1
by simply dragging,1
camera gestures can,1
can also be,1
can be adjusted,1
can be configured,1
can be easily,1
can be imported,1
can be modified,1
can be shared,1
can be spoken,1
can program buttons,1
can simply tilt,1
capabilities of the,1
category of assistive,1
change the volume,1
choose a service,1
choose a voice,1
choose to share,1
clear the display,1
colors borders fonts,1
communicate silently or,1
communication aac and,1
communication needs additional,1
communication solution for,1
community note iphone,1
computer using the,1
conditions that affect,1
configured to activate,1
copied to other,1
copied to touchchat,1
create new custom,1
creating new buttons,1
custom files for,1
custom files vocabulary,1
custom page sets,1
customizable buttons can,1
customized pages with,1
customizing buttons use,1
dedicated devices words,1
designed for individuals,1
desired new location,1
device to make,1
devices words phrases,1
different communication needs,1
different location the,1
different page change,1
difficulty using their,1
display four page,1
divided into a,1
down syndrome als,1
dragging them to,1
dwell time and,1
each of which,1
each page set,1
easily rearranged by,1
email it s,1
enables users to,1
english and 2,1
english synthesized voices,1
environment touchchat gives,1
essence are available,1
etc button activation,1
example buttons may,1
expand to fill,1
expensive dedicated devices,1
exported to a,1
facebook twitter tumblr,1
feature allows a,1
feature touchchat also,1
feature whereby one,1
featured communication solution,1
features that were,1
file sharing feature,1
files can be,1
files for safe,1
files from the,1
files such as,1
files vocabulary files,1
fill the screen,1
fits into the,1
fits their own,1
five us english,1
fonts can be,1
for customizing buttons,1
for example buttons,1
for individuals who,1
for individuals with,1
for ipad is,1
for iphone and,1
for safe keeping,1
four page sets,1
from other applications,1
from over 30,1
from the media,1
from the photo,1
full featured communication,1
fully customizable buttons,1
generate a message,1
generated in touchchat,1
generated with touchchat,1
gestures can also,1
gives an individual,1
great measures have,1
grid layout buttons,1
has a unique,1
have been taken,1
have difficulty using,1
have specific actions,1
hd for ipad,1
image or take,1
imported and exported,1
in a noisy,1
in app purchases,1
in camera gestures,1
in large letters,1
in much more,1
in touchchat can,1
in voice synthesizer,1
include button dwell,1
included for customizing,1
included with the,1
includes features that,1
including wordpower and,1
individual the ability,1
individuals who have,1
individuals with autism,1
individuals with different,1
into a different,1
into a number,1
into another button,1
into the category,1
ipad is a,1
ipod users should,1
is a full,1
is automatically posted,1
is designed for,1
is divided into,1
ishare and store,1
it can be,1
it s simple,1
itunes file sharing,1
just generate a,1
keeping or choose,1
known as augmentative,1
large letters this,1
layout buttons messages,1
letters this feature,1
library or video,1
linked pages each,1
location buttons can,1
location the styling,1
loud also text,1
make the message,1
may be programmed,1
measures have been,1
media library or,1
meet the needs,1
message and email,1
message expand to,1
message five us,1
message is automatically,1
message navigate to,1
message push on,1
messages and symbols,1
messages are spoken,1
messages etc button,1
messages page sets,1
modified to create,1
more expensive dedicated,1
much more expensive,1
multichat 15 primary,1
music from the,1
natural speech touchchat,1
natural voice touchchat,1
navigate through page,1
navigate to a,1
navigate to new,1
needs additional page,1
needs and capabilities,1
new buttons over,1
new custom page,1
new location buttons,1
new pages speak,1
noisy environment touchchat,1
note iphone and,1
number of buttons,1
of a button,1
of assistive technology,1
of buttons the,1
of the user,1
of which is,1
on facebook twitter,1
on release users,1
on the text,1
one can simply,1
online community note,1
only available in,1
or by playing,1
or choose to,1
or clear the,1
or in a,1
or other conditions,1
or take a,1
or via text,1
or video files,1
other applications can,1
other applications the,1
other conditions that,1
out loud also,1
over 10 000,1
over 30 button,1
own personality touchchat,1
page change the,1
page set targets,1
page sets and,1
page sets can,1
page sets including,1
page sets select,1
pages can be,1
pages each of,1
pages grid layout,1
pages speak messages,1
pages with an,1
pasted into a,1
pasted into another,1
person s ability,1
person to communicate,1
personality touchchat also,1
photo roll great,1
photo with the,1
phrases and messages,1
play audio files,1
playing recorded message,1
posted text from,1
previously only available,1
primary and spelling,1
program buttons to,1
programmed to have,1
programmed to speak,1
protect custom files,1
provided page sets,1
purchase touchchat aac,1
purchases text generated,1
push on the,1
rearranged by simply,1
recorded message five,1
release time also,1
release users can,1
roll great measures,1
s ability to,1
s simple too,1
safe keeping or,1
screen in large,1
select from over,1
send and the,1
service touch send,1
set targets individuals,1
sets and speak,1
sets are included,1
sets are linked,1
sets can be,1
sets including wordpower,1
sets select from,1
share customized pages,1
shared on facebook,1
sharing feature touchchat,1
should purchase touchchat,1
silently or in,1
simple too just,1
simply dragging them,1
simply tilt the,1
so that it,1
solution for individuals,1
speak a message,1
speak messages etc,1
speak messages page,1
specific actions for,1
speech touchchat fits,1
spelling each page,1
spoken out loud,1
spoken with a,1
store custom files,1
stroke or other,1
styling of a,1
subscribe to ishare,1
such as music,1
symbols are fully,1
symbols are included,1
symbolstix symbols are,1
syndrome als apraxia,1
synthesized voices are,1
synthesizer or by,1
take a photo,1
taken to protect,1
targets individuals with,1
technology known as,1
text and choose,1
text from other,1
text generated in,1
text generated with,1
text message and,1
that affect a,1
that fits their,1
that it can,1
that were previously,1
the ability to,1
the built in,1
the buttons are,1
the category of,1
the desired new,1
the device to,1
the display four,1
the itunes file,1
the media library,1
the message expand,1
the message is,1
the needs and,1
the pages grid,1
the photo roll,1
the screen in,1
the styling of,1
the text and,1
the touchchat vocabpc,1
the user adjustments,1
the user to,1
the volume or,1
their natural voice,1
their own personality,1
them to the,1
this feature allows,1
through page sets,1
tilt the device,1
time also buttons,1
time and button,1
timing can be,1
to a computer,1
to a different,1
to activate on,1
to choose a,1
to communicate silently,1
to create new,1
to fill the,1
to have specific,1
to ishare and,1
to make the,1
to meet the,1
to navigate through,1
to navigate to,1
to new pages,1
to other applications,1
to play audio,1
to protect custom,1
to share customized,1
to speak a,1
to subscribe to,1
to the desired,1
to touchchat so,1
to use natural,1
too just generate,1
touch send and,1
touchchat aac for,1
touchchat also enables,1
touchchat also has,1
touchchat can be,1
touchchat fits into,1
touchchat gives an,1
touchchat hd for,1
touchchat is designed,1
touchchat pages can,1
touchchat so that,1
touchchat vocabpc multichat,1
tumblr or via,1
twitter tumblr or,1
unique feature whereby,1
us english and,1
use any image,1
use natural speech,1
used to navigate,1
user adjustments include,1
user to choose,1
users can program,1
users should purchase,1
users to subscribe,1
using the itunes,1
using their natural,1
via text message,1
video files from,1
vocabpc multichat 15,1
vocabulary files can,1
voice synthesizer or,1
voice that fits,1
voice touchchat is,1
voices are available,1
volume or clear,1
were previously only,1
when creating new,1
whereby one can,1
which is divided,1
who have difficulty,1
with a built,1
with an online,1
with autism down,1
with different communication,1
with the built,1
with the touchchat,1
with touchchat pages,1
wordpower and essence,1
words phrases and,1
