word,n
buttons,10
page,8
button,6
message,6
sets,6
files,5
pages,5
text,5
copied,4
messages,4
choose,3
communication,3
custom,3
feature,3
individuals,3
navigate,3
speak,3
users,3
voice,3
ability,2
actions,2
applications,2
built,2
english,2
fits,2
generated,2
included,2
location,2
natural,2
pasted,2
person,2
photo,2
programmed,2
release,2
simply,2
spoken,2
symbols,2
time,2
user,2
15,1
30,1
activate,1
activation,1
additional,1
adjusted,1
adjustments,1
affect,1
allowing,1
als,1
alternative,1
apraxia,1
assistive,1
audio,1
augmentative,1
autism,1
automatically,1
borders,1
british,1
camera,1
capabilities,1
category,1
change,1
colors,1
communicate,1
community,1
computer,1
conditions,1
configured,1
create,1
creating,1
customizable,1
customized,1
customizing,1
dedicated,1
designed,1
desired,1
device,1
devices,1
difficulty,1
display,1
divided,1
dragging,1
dwell,1
easily,1
email,1
enables,1
environment,1
essence,1
expand,1
expensive,1
exported,1
facebook,1
featured,1
features,1
file,1
fill,1
fonts,1
generate,1
gestures,1
grid,1
hd,1
image,1
imported,1
include,1
includes,1
including,1
individual,1
ishare,1
keeping,1
layout,1
letters,1
library,1
linked,1
loud,1
measures,1
media,1
meet,1
modified,1
multichat,1
music,1
noisy,1
note,1
online,1
personality,1
phrases,1
play,1
playing,1
posted,1
previously,1
primary,1
program,1
protect,1
provided,1
purchase,1
purchases,1
push,1
rearranged,1
recorded,1
roll,1
safe,1
screen,1
select,1
send,1
service,1
set,1
share,1
shared,1
sharing,1
silently,1
simple,1
solution,1
specific,1
speech,1
spelling,1
store,1
stroke,1
styling,1
subscribe,1
symbolstix,1
syndrome,1
synthesized,1
synthesizer,1
targets,1
technology,1
tilt,1
timing,1
touch,1
tumblr,1
twitter,1
unique,1
video,1
vocabpc,1
vocabulary,1
voices,1
volume,1
wordpower,1
words,1
